,Neighborhood,Price($),Style,Sq. Ft.,Fire?
657,OldTown,150000,2 Story,1558,Yes
658,OldTown,112500,1 Story,928,No
659,Sawyer,165250,Other,1302,Yes
660,NAmes,76500,1 Story,864,No
661,Somerst,223000,2 Story,1789,Yes
662,BrkSide,126000,Other,1409,Yes
663,Gilbert,236000,2 Story,2256,Yes
664,NridgHt,318000,1 Story,1694,No
665,NAmes,157500,1 Story,1478,Yes
666,Somerst,249700,1 Story,1656,No
667,IDOTRR,40000,2 Story,1317,No
668,BrkSide,39300,1 Story,334,No
669,BrkSide,129000,1 Story,960,No
670,Gilbert,161500,Other,1384,Yes
671,Crawfor,335000,1 Story,1902,Yes
672,Veenker,324000,1 Story,1719,Yes
673,ClearCr,255000,1 Story,2422,Yes
674,CollgCr,217000,1 Story,1546,No
675,Edwards,98000,2 Story,1436,No
676,CollgCr,192000,1 Story,1459,Yes
677,BrkSide,138400,Other,1536,Yes
678,Edwards,134000,2 Story,1709,No
679,Landmrk,137000,2 Story,1320,No
680,Sawyer,143500,1 Story,1285,Yes
681,IDOTRR,141000,Other,1375,Yes
682,Mitchel,171500,1 Story,1279,Yes
683,Edwards,90000,1 Story,960,No
684,Timber,250764,1 Story,1650,Yes
685,Sawyer,63900,1 Story,660,No
686,IDOTRR,99500,1 Story,912,No
687,Sawyer,144000,1 Story,1211,Yes
688,NAmes,129000,1 Story,864,No
689,CollgCr,226001,1 Story,1418,Yes
690,CollgCr,145000,1 Story,1097,No
691,Blmngtn,178740,1 Story,1414,Yes
692,BrDale,113000,2 Story,1218,No
693,NPkVill,143000,2 Story,1456,No
694,CollgCr,211000,2 Story,1870,No
695,NAmes,143000,Other,1846,Yes
696,BrDale,122500,2 Story,1365,No
697,Veenker,270000,1 Story,1494,Yes
698,Edwards,120000,Other,1053,No
699,Somerst,250580,1 Story,1372,No
700,Sawyer,120875,1 Story,1024,No
701,NAmes,152500,2 Story,1527,Yes
702,NAmes,118000,1 Story,1128,No
703,CollgCr,203000,1 Story,1504,Yes
704,CollgCr,175900,1 Story,1270,No
705,NoRidge,269790,2 Story,2013,Yes
706,Sawyer,124100,1 Story,1020,No
707,NoRidge,258000,2 Story,2263,Yes
708,NAmes,142000,1 Story,1154,No
709,BrkSide,79000,1 Story,896,No
710,Sawyer,127000,1 Story,955,No
711,OldTown,155000,2 Story,1768,No
712,CollgCr,220000,1 Story,1358,Yes
713,StoneBr,372500,1 Story,2046,Yes
714,NWAmes,249000,2 Story,2673,Yes
715,Somerst,257500,1 Story,1658,Yes
716,Somerst,215200,2 Story,1547,No
717,IDOTRR,110000,Other,1107,No
718,Crawfor,146500,Other,1298,Yes
719,Crawfor,236500,1 Story,1898,Yes
720,SawyerW,188000,2 Story,1696,No
721,OldTown,475000,Other,3608,Yes
722,Gilbert,187500,2 Story,1498,Yes
723,Edwards,125000,1 Story,768,Yes
724,BrkSide,144000,1 Story,1167,Yes
725,NridgHt,248500,1 Story,1456,Yes
726,Edwards,85000,1 Story,876,No
727,NAmes,154000,1 Story,1380,No
728,IDOTRR,129850,Other,1601,No
729,NAmes,144750,2 Story,1806,No
730,NridgHt,214000,1 Story,1535,No
731,Mitchel,152000,1 Story,1595,No
732,NoRidge,337000,2 Story,2365,Yes
733,CollgCr,223500,2 Story,1786,Yes
734,Timber,232500,1 Story,1440,Yes
735,NAmes,137500,Other,1054,No
736,Somerst,214000,1 Story,1378,Yes
737,StoneBr,455000,1 Story,2042,Yes
738,Sawyer,185000,1 Story,1188,Yes
739,Sawyer,131000,1 Story,1640,Yes
740,Sawyer,120750,1 Story,894,No
741,OldTown,135000,Other,1668,No
742,ClearCr,190000,1 Story,1453,Yes
743,CollgCr,191000,2 Story,1716,Yes
744,Somerst,208900,1 Story,1338,No
745,Crawfor,220000,Other,1991,Yes
746,NoRidge,327000,2 Story,2687,Yes
747,NAmes,126500,1 Story,1065,No
748,OldTown,129900,Other,1774,Yes
749,NAmes,177500,2 Story,2140,Yes
750,NWAmes,197500,1 Story,1381,Yes
751,Edwards,112000,2 Story,1346,No
752,Somerst,185000,1 Story,1262,No
753,Somerst,176000,1 Story,1266,Yes
754,StoneBr,187500,1 Story,1360,Yes
755,MeadowV,88250,2 Story,1092,No
756,NWAmes,235000,2 Story,2263,Yes
757,Edwards,110000,Other,1196,No
758,SawyerW,184900,1 Story,1200,No
759,NPkVill,120000,1 Story,836,No
760,NAmes,142100,1 Story,1053,No
761,SWISU,118000,1 Story,864,No
762,Mitchel,134000,1 Story,1080,No
763,CollgCr,128500,1 Story,864,No
764,Gilbert,215000,2 Story,1889,Yes
765,Edwards,150000,1 Story,1440,No
766,Edwards,130000,2 Story,1708,No
767,CollgCr,128200,1 Story,894,No
768,NWAmes,127000,1 Story,1052,No
769,SawyerW,149000,1 Story,1094,No
770,Timber,174000,1 Story,1240,No
771,Gilbert,175900,2 Story,1655,Yes
772,Gilbert,189900,2 Story,1629,Yes
773,NAmes,109500,1 Story,894,No
774,NWAmes,150000,1 Story,1740,Yes
775,Edwards,96000,Other,1362,No
776,NridgHt,395192,1 Story,1940,Yes
777,SawyerW,99500,1 Story,918,Yes
778,NAmes,178900,1 Story,1510,No
779,ClearCr,195000,1 Story,1643,Yes
780,CollgCr,198900,1 Story,1226,No
781,NridgHt,492000,2 Story,2656,Yes
782,OldTown,86900,Other,720,No
783,Edwards,63000,Other,1112,No
784,NoRidge,348000,2 Story,2392,Yes
785,Mitchel,239686,Other,2149,Yes
786,NAmes,133000,2 Story,1792,No
787,NridgHt,155000,2 Story,1626,No
788,NWAmes,190000,2 Story,1993,Yes
789,Gilbert,163900,Other,1482,Yes
790,NAmes,139000,1 Story,1044,Yes
791,SawyerW,173000,2 Story,1640,No
792,NAmes,124000,1 Story,1144,No
793,BrDale,112000,2 Story,1302,No
794,NridgHt,415298,1 Story,2121,Yes
795,SawyerW,158000,1 Story,1158,No
796,Sawyer,128000,1 Story,1067,No
797,NWAmes,162500,Other,1082,No
798,OldTown,161000,2 Story,1666,Yes
799,NAmes,94000,1 Story,876,Yes
800,SWISU,104000,1 Story,1296,Yes
801,Gilbert,177000,2 Story,1470,No
802,Gilbert,188500,2 Story,1432,Yes
803,IDOTRR,80900,Other,1049,No
804,Crawfor,145000,2 Story,2002,No
805,Crawfor,223000,1 Story,1844,Yes
806,OldTown,184900,2 Story,1772,No
807,Mitchel,169000,1 Story,1264,Yes
808,Somerst,226700,2 Story,1768,No
809,NAmes,130000,1 Story,1411,Yes
810,NAmes,157500,2 Story,1440,Yes
811,NWAmes,185000,2 Story,2044,Yes
812,Edwards,130500,Other,1200,No
813,Somerst,419005,1 Story,1966,Yes
814,NoRidge,322500,2 Story,2582,Yes
815,OldTown,117500,2 Story,2210,No
816,BrDale,94500,2 Story,987,Yes
817,NridgHt,275500,2 Story,2098,Yes
818,Timber,267300,1 Story,1564,Yes
819,NridgHt,382500,1 Story,2200,Yes
820,OldTown,122500,2 Story,2290,No
821,Gilbert,258000,2 Story,2373,Yes
822,Somerst,155000,2 Story,1416,No
823,Crawfor,139000,Other,1250,Yes
824,CollgCr,279500,1 Story,1828,Yes
825,Crawfor,201000,1 Story,1560,Yes
826,ClearCr,240000,Other,2358,Yes
827,Edwards,130000,1 Story,1038,No
828,NoRidge,315750,2 Story,2398,Yes
829,Edwards,171500,2 Story,1408,No
830,Edwards,107500,2 Story,1347,No
831,Somerst,229800,1 Story,1402,No
832,Mitchel,146000,1 Story,1092,No
833,BrkSide,138000,1 Story,1143,Yes
834,NWAmes,197000,Other,1725,Yes
835,Mitchel,251000,2 Story,2052,Yes
836,NAmes,120000,1 Story,888,No
837,NPkVill,149900,2 Story,1456,Yes
838,CollgCr,191000,2 Story,1692,Yes
839,Sawyer,131500,1 Story,1039,No
840,Edwards,160500,2 Story,1398,Yes
841,NPkVill,147000,2 Story,1548,Yes
842,NAmes,142000,1 Story,1188,No
843,NridgHt,360000,1 Story,1736,Yes
844,CollgCr,147900,1 Story,1097,No
845,OldTown,113000,2 Story,1452,No
846,NridgHt,204000,1 Story,1302,Yes
847,CollgCr,191000,1 Story,1479,No
848,Mitchel,196000,1 Story,1676,Yes
849,NAmes,244000,1 Story,2110,Yes
850,OldTown,146500,2 Story,1521,No
851,SawyerW,159000,1 Story,1114,No
852,OldTown,170000,Other,1466,Yes
853,OldTown,130000,Other,1306,No
854,Edwards,135000,1 Story,1127,Yes
855,OldTown,105000,2 Story,1004,Yes
856,Edwards,135000,1 Story,1488,Yes
857,Edwards,104900,Other,1221,No
858,NWAmes,148000,Other,1032,Yes
859,NWAmes,161500,1 Story,1342,Yes
860,Somerst,264132,1 Story,1506,Yes
861,CollgCr,250000,1 Story,1611,No
862,NridgHt,209500,1 Story,1554,Yes
863,OldTown,153500,1 Story,1559,No
864,NPkVill,143750,1 Story,958,No
865,NoRidge,250000,2 Story,2198,Yes
866,NPkVill,127500,1 Story,1069,Yes
867,OldTown,114504,2 Story,1368,No
868,Edwards,117250,1 Story,914,No
869,CollgCr,221800,1 Story,1254,No
870,SawyerW,119900,1 Story,965,No
871,IDOTRR,141000,Other,1215,No
872,Somerst,275500,1 Story,1702,Yes
873,OldTown,139000,Other,1652,No
874,Mitchel,131000,1 Story,902,No
875,Edwards,61000,1 Story,904,No
876,NAmes,151000,1 Story,1054,No
877,OldTown,118000,Other,1594,No
878,Somerst,260261,1 Story,1542,Yes
879,Somerst,252000,2 Story,1964,Yes
880,CollgCr,143195,1 Story,1076,Yes
881,Crawfor,257076,2 Story,1873,Yes
882,NAmes,190000,2 Story,2544,No
883,Crawfor,238000,Other,1718,Yes
884,Edwards,82000,1 Story,1152,No
885,ClearCr,277000,Other,2144,Yes
886,Edwards,159900,1 Story,1509,Yes
887,MeadowV,127000,2 Story,1475,Yes
888,Sawyer,136000,1 Story,1832,No
889,Gilbert,156932,2 Story,1412,Yes
890,Edwards,84900,1 Story,640,No
891,Edwards,97900,Other,936,No
892,Gilbert,203000,1 Story,1326,No
893,Mitchel,126000,Other,1734,No
894,OldTown,152000,1 Story,1616,No
895,OldTown,143000,2 Story,1482,No
896,Mitchel,171000,1 Story,1959,No
897,NAmes,120500,1 Story,864,No
898,NAmes,116050,1 Story,864,No
899,Mitchel,157000,2 Story,1432,Yes
900,OldTown,139500,Other,1456,No
901,Timber,392000,1 Story,1824,Yes
902,NAmes,141000,2 Story,1464,No
903,NAmes,87500,1 Story,1040,No
904,NWAmes,143000,1 Story,1328,Yes
905,Somerst,285000,1 Story,1310,Yes
906,NAmes,205000,2 Story,1986,Yes
907,MeadowV,115000,2 Story,1304,Yes
908,NAmes,145000,1 Story,1092,No
909,Somerst,252000,2 Story,1953,Yes
910,NAmes,115000,Other,1540,No
911,NWAmes,143450,1 Story,1152,No
912,NAmes,237500,1 Story,2117,Yes
913,Veenker,300000,2 Story,2503,Yes
914,NAmes,140000,1 Story,1170,Yes
915,CollgCr,144000,1 Story,1099,No
916,CollgCr,236500,1 Story,1788,Yes
917,Sawyer,133000,1 Story,1040,No
918,Edwards,94750,1 Story,960,No
919,Somerst,190000,2 Story,1680,No
920,NridgHt,426000,2 Story,2332,Yes
921,Gilbert,194500,2 Story,1895,Yes
922,Mitchel,130000,2 Story,1287,No
923,Edwards,120000,1 Story,1368,No
924,CollgCr,212900,1 Story,1552,No
925,CollgCr,130000,1 Story,907,No
926,NoRidge,325000,2 Story,2622,Yes
927,Somerst,166000,2 Story,1524,No
928,Timber,180000,1 Story,1256,Yes
929,OldTown,179900,2 Story,1944,No
930,NAmes,192000,1 Story,1395,Yes
931,OldTown,79000,Other,1440,No
932,IDOTRR,120000,Other,1308,No
933,Gilbert,176485,1 Story,1302,No
934,NoRidge,350000,1 Story,2113,Yes
935,Gilbert,188000,2 Story,1658,Yes
936,Somerst,194000,1 Story,1352,Yes
937,Timber,187500,Other,1146,Yes
938,CollgCr,133000,Other,768,No
939,NAmes,167000,1 Story,1516,No
940,Crawfor,250000,1 Story,1646,Yes
941,BrDale,96000,2 Story,987,No
942,Crawfor,167000,Other,1636,Yes
943,Edwards,121000,Other,1273,No
944,Somerst,183900,2 Story,1452,No
945,CollgCr,208500,2 Story,1710,No
946,Timber,282000,1 Story,1922,Yes
947,Gilbert,168000,2 Story,1642,Yes
948,SawyerW,205000,2 Story,2110,Yes
949,SawyerW,175900,2 Story,1603,No
950,Mitchel,245000,1 Story,1409,Yes
951,NAmes,141000,1 Story,1092,Yes
952,Crawfor,145000,2 Story,1958,No
953,NAmes,105000,Other,1376,Yes
954,Mitchel,254900,2 Story,1916,Yes
955,Edwards,112000,1 Story,960,No
956,NridgHt,465000,1 Story,2076,Yes
957,Somerst,177000,2 Story,1573,No
958,NridgHt,500000,1 Story,2696,Yes
959,Timber,264966,2 Story,1780,Yes
960,NAmes,145100,1 Story,1292,Yes
961,CollgCr,313000,2 Story,2153,Yes
962,MeadowV,86000,Other,630,No
963,Crawfor,148500,2 Story,1098,Yes
964,NoRidge,755000,2 Story,4316,Yes
965,Mitchel,156000,Other,912,Yes
966,Sawyer,130000,1 Story,899,No
967,Edwards,118500,Other,816,No
968,CollgCr,158000,1 Story,1174,No
969,IDOTRR,123000,2 Story,2168,No
970,Mitchel,147000,1 Story,1120,No
971,Veenker,275000,1 Story,2014,Yes
972,NAmes,146000,1 Story,1150,No
973,NoRidge,260000,2 Story,2417,Yes
974,Somerst,238500,1 Story,1448,Yes
975,NWAmes,157000,1 Story,1601,Yes
976,Mitchel,285000,1 Story,1803,Yes
977,CollgCr,213000,1 Story,1484,No
978,MeadowV,81000,Other,630,No
979,IDOTRR,103000,Other,1836,No
980,CollgCr,200000,2 Story,1772,Yes
981,CollgCr,214000,2 Story,1755,Yes
982,Somerst,250000,2 Story,1958,Yes
983,NAmes,132000,1 Story,928,No
984,OldTown,155000,Other,2104,No
985,BrkSide,140200,Other,1577,Yes
986,Somerst,250000,2 Story,1977,No
987,Blmngtn,174000,1 Story,1555,Yes
988,Mitchel,139000,2 Story,1824,No
989,Timber,180500,1 Story,1312,No
990,Edwards,81000,Other,1184,No
991,Sawyer,134500,1 Story,943,No
992,Crawfor,137000,2 Story,1228,Yes
993,NAmes,102900,1 Story,1210,No
994,Crawfor,217000,1 Story,2259,Yes
995,SawyerW,170000,1 Story,1162,No
996,Timber,220000,1 Story,1346,Yes
997,BrkSide,134900,Other,1176,No
998,Edwards,99900,1 Story,864,No
999,CollgCr,197900,2 Story,1779,No
1000,SWISU,168000,1 Story,1424,Yes
1001,IDOTRR,127000,Other,1236,Yes
1002,Sawyer,85000,1 Story,756,No
1003,SawyerW,203000,1 Story,1512,No
1004,NridgHt,372402,1 Story,1710,Yes
1005,Edwards,108000,Other,1292,No
1006,Gilbert,162000,2 Story,1320,No
1007,Gilbert,170000,2 Story,1671,Yes
1008,OldTown,105900,1 Story,720,No
1009,MeadowV,97000,2 Story,1344,Yes
1010,Somerst,252678,2 Story,1852,Yes
1011,SWISU,80000,1 Story,879,No
1012,NAmes,151500,1 Story,958,No
1013,NAmes,146500,2 Story,1644,Yes
1014,Gilbert,185000,2 Story,1511,Yes
1015,SawyerW,228500,Other,1822,Yes
1016,Gilbert,176000,2 Story,1536,Yes
1017,Somerst,212700,1 Story,1372,No
1018,Edwards,243000,1 Story,2158,Yes
1019,OldTown,120000,Other,1182,No
1020,NridgHt,306000,1 Story,1704,Yes
1021,Gilbert,173500,1 Story,1258,No
1022,CollgCr,211000,2 Story,1796,No
1023,Crawfor,144800,1 Story,1112,Yes
1024,BrkSide,119000,Other,904,No
1025,NWAmes,179900,2 Story,1552,Yes
1026,Edwards,84000,1 Story,845,No
1027,Mitchel,145000,1 Story,1664,No
1028,Edwards,149900,Other,1609,No
1029,NWAmes,152000,1 Story,1370,Yes
1030,ClearCr,256000,1 Story,1663,Yes
1031,Sawyer,108000,1 Story,672,No
1032,StoneBr,501837,1 Story,2234,Yes
1033,SWISU,126000,1 Story,856,Yes
1034,NridgHt,376162,2 Story,2334,Yes
1035,NoRidge,321000,2 Story,2494,Yes
1036,Edwards,35000,1 Story,498,No
1037,Edwards,147000,Other,1117,Yes
1038,Somerst,266000,2 Story,1939,Yes
1039,Gilbert,181000,2 Story,1675,Yes
1040,NWAmes,167900,1 Story,1334,Yes
1041,NAmes,117600,1 Story,894,No
1042,Somerst,320000,1 Story,1905,Yes
1043,NWAmes,306000,2 Story,2340,Yes
1044,Veenker,192000,1 Story,1430,Yes
1045,Mitchel,132250,1 Story,1040,No
1046,Crawfor,208000,Other,1982,Yes
1047,Sawyer,148000,1 Story,1382,Yes
1048,CollgCr,240000,2 Story,2098,Yes
1049,IDOTRR,102000,1 Story,976,No
1050,NAmes,149900,1 Story,1078,Yes
1051,NAmes,140500,1 Story,1187,Yes
1052,StoneBr,191500,1 Story,1280,No
1053,OldTown,147000,1 Story,1122,No
1054,Sawyer,108000,1 Story,948,No
1055,Edwards,118000,1 Story,698,No
1056,IDOTRR,68104,Other,845,No
1057,NAmes,215000,1 Story,1656,Yes
1058,CollgCr,214000,1 Story,1536,No
1059,NWAmes,151500,1 Story,1177,No
1060,BrkSide,164900,Other,1672,Yes
1061,NAmes,155000,1 Story,1128,No
1062,CollgCr,215700,2 Story,1771,No
1063,Somerst,213133,1 Story,1369,No
1064,NridgHt,329900,2 Story,2358,Yes
1065,NridgHt,412500,2 Story,2668,Yes
1066,BrDale,103400,2 Story,987,No
1067,NAmes,183000,1 Story,1773,Yes
1068,CollgCr,214000,1 Story,1588,No
1069,NridgHt,232698,1 Story,1721,No
1070,NAmes,155000,2 Story,1770,No
1071,Sawyer,134900,Other,858,No
1072,Somerst,267916,1 Story,1418,Yes
1073,CollgCr,192500,2 Story,1776,Yes
1074,Sawyer,140000,Other,1641,Yes
1075,Gilbert,176000,1 Story,1253,Yes
1076,NridgHt,335000,2 Story,2184,Yes
1077,Mitchel,165500,Other,1110,Yes
1078,NAmes,159000,1 Story,1394,Yes
1079,Sawyer,130000,Other,810,No
1080,Somerst,240900,2 Story,1884,Yes
1081,BrDale,118000,2 Story,987,No
1082,BrkSide,133000,Other,1573,No
1083,NAmes,124000,1 Story,1584,No
1084,GrnHill,230000,1 Story,1295,No
1085,NAmes,180000,1 Story,1790,Yes
1086,SawyerW,152000,1 Story,1097,No
1087,NridgHt,379000,2 Story,2331,Yes
1088,MeadowV,98000,2 Story,1092,No
1089,Sawyer,219000,2 Story,2267,Yes
1090,Crawfor,138000,2 Story,1603,Yes
1091,IDOTRR,100000,Other,1123,No
1092,Gilbert,225000,2 Story,1733,Yes
1093,Gilbert,174000,2 Story,1560,Yes
1094,NAmes,149500,1 Story,988,No
1095,Sawyer,62383,1 Story,864,Yes
1096,Edwards,179000,1 Story,1200,No
1097,IDOTRR,125500,Other,1360,No
1098,Gilbert,166000,2 Story,1504,No
1099,Sawyer,145000,1 Story,1040,No
1100,NridgHt,378000,1 Story,1780,Yes
1101,Gilbert,178000,2 Story,1342,Yes
1102,OldTown,159900,2 Story,1560,No
1103,NAmes,110000,1 Story,892,No
1104,NWAmes,165000,1 Story,1350,Yes
1105,NAmes,153000,1 Story,1313,Yes
1106,NAmes,135000,2 Story,2080,Yes
1107,Veenker,294000,2 Story,2167,Yes
1108,Crawfor,257500,Other,2133,Yes
1109,OldTown,93000,1 Story,936,No
1110,IDOTRR,34900,1 Story,720,No
1111,Gilbert,199900,2 Story,1886,Yes
1112,MeadowV,124000,1 Story,1040,No
1113,Gilbert,309000,2 Story,2212,Yes
1114,Edwards,140000,Other,1072,No
1115,Somerst,255000,2 Story,1792,No
1116,Sawyer,152000,Other,1126,No
1117,Mitchel,169900,Other,1034,No
1118,StoneBr,556581,2 Story,2868,Yes
1119,OldTown,144000,Other,1056,No
1120,NAmes,105500,Other,832,No
1121,Sawyer,151000,Other,1212,Yes
1122,Sawyer,129000,Other,913,No
1123,MeadowV,90500,2 Story,1092,No
1124,NPkVill,144000,2 Story,1456,Yes
1125,CollgCr,148000,Other,914,No
1126,NAmes,106500,1 Story,882,No
1127,NAmes,116000,1 Story,882,No
1128,BrkSide,132500,Other,1412,Yes
1129,OldTown,127500,Other,1609,No
1130,Gilbert,192000,2 Story,1638,Yes
1131,OldTown,94550,2 Story,1701,No
1132,Crawfor,147500,Other,1264,No
1133,Crawfor,177500,2 Story,1494,Yes
1134,NAmes,147000,1 Story,1374,Yes
1135,NAmes,132000,1 Story,972,Yes
1136,OldTown,125000,1 Story,960,No
1137,SawyerW,144000,1 Story,2020,Yes
1138,NAmes,138000,Other,1904,No
1139,OldTown,107500,2 Story,2372,No
1140,Timber,281213,2 Story,2482,Yes
1141,CollgCr,305900,1 Story,2000,No
1142,Gilbert,164000,Other,1752,No
1143,SawyerW,269500,2 Story,2787,Yes
1144,OldTown,99800,1 Story,713,No
1145,NridgHt,207500,1 Story,1314,Yes
1146,Veenker,318750,1 Story,1694,Yes
1147,MeadowV,84500,Other,630,No
1148,NAmes,98300,1 Story,1048,No
1149,BrkSide,118000,Other,1077,Yes
1150,OldTown,129400,2 Story,1540,No
1151,NWAmes,213000,1 Story,1664,Yes
1152,MeadowV,105000,Other,988,No
1153,NAmes,88000,1 Story,858,No
1154,Mitchel,209000,1 Story,1491,No
1155,CollgCr,221000,1 Story,1494,Yes
1156,ClearCr,165000,Other,2071,Yes
1157,Edwards,116000,Other,1250,No
1158,Timber,410000,1 Story,2036,Yes
1159,NAmes,130000,1 Story,864,No
1160,ClearCr,241500,1 Story,1363,Yes
1161,BrkSide,102000,1 Story,986,Yes
1162,NAmes,190000,1 Story,1419,No
1163,CollgCr,220000,1 Story,1513,Yes
1164,ClearCr,244400,2 Story,2403,Yes
1165,Crawfor,224000,1 Story,1906,Yes
1166,Sawyer,147000,1 Story,1055,Yes
1167,CollgCr,146000,1 Story,990,No
1168,Sawyer,125000,1 Story,1728,No
1169,SawyerW,320000,2 Story,3222,Yes
1170,Somerst,301000,2 Story,2048,Yes
1171,NAmes,142000,1 Story,1056,Yes
1172,NoRidge,290000,2 Story,2520,Yes
1173,NAmes,122000,1 Story,960,No
1174,Somerst,200000,2 Story,1607,No
1175,Somerst,264500,1 Story,1836,Yes
1176,NridgHt,336860,1 Story,1866,Yes
1177,IDOTRR,107000,Other,1430,No
1178,NWAmes,240000,2 Story,2614,Yes
1179,Edwards,82000,1 Story,1152,No
1180,Somerst,235876,1 Story,1528,Yes
1181,SawyerW,213000,2 Story,1775,Yes
1182,SWISU,140000,2 Story,1482,No
1183,Somerst,199900,1 Story,1241,No
1184,NAmes,124500,1 Story,1041,No
1185,NridgHt,279000,2 Story,1914,Yes
1186,NAmes,142000,1 Story,1252,No
1187,Somerst,195000,1 Story,1256,Yes
1188,Edwards,154000,Other,1626,No
1189,OldTown,108000,1 Story,1032,No
1190,Mitchel,139500,1 Story,1008,No
1191,ClearCr,173000,1 Story,1675,Yes
1192,NAmes,185000,1 Story,1440,No
1193,BrkSide,128500,Other,1612,No
1194,Mitchel,168000,1 Story,1622,Yes
1195,NAmes,145000,1 Story,1314,No
1196,Mitchel,146500,1 Story,1652,No
1197,SawyerW,153000,1 Story,1114,No
1198,Blmngtn,191000,1 Story,1504,Yes
1199,ClearCr,211000,2 Story,2060,Yes
1200,CollgCr,240000,2 Story,2327,Yes
1201,Edwards,91500,Other,1456,Yes
1202,NridgHt,205000,1 Story,1370,Yes
1203,Edwards,125000,1 Story,1164,No
1204,StoneBr,180000,1 Story,1280,No
1205,NridgHt,202500,1 Story,1368,Yes
1206,NAmes,126000,1 Story,1560,No
1207,IDOTRR,93850,1 Story,768,No
1208,NAmes,155000,1 Story,1422,No
1209,Gilbert,184500,Other,1374,Yes
1210,NAmes,135000,1 Story,1105,No
1211,NWAmes,168500,2 Story,2061,Yes
1212,Timber,167500,Other,1394,No
1213,NAmes,111900,1 Story,936,No
1214,Mitchel,143000,Other,1362,No
1215,Edwards,127500,Other,1355,No
1216,NWAmes,181000,1 Story,1586,Yes
1217,Sawyer,122000,1 Story,864,No
1218,Edwards,127500,Other,1012,No
1219,CollgCr,240000,2 Story,2090,Yes
1220,Sawyer,128000,1 Story,984,Yes
1221,Gilbert,176000,2 Story,1456,No
1222,Blmngtn,180000,1 Story,1220,Yes
1223,CollgCr,332000,1 Story,1720,Yes
1224,Crawfor,266500,2 Story,2340,Yes
1225,NAmes,119000,1 Story,1556,No
1226,Mitchel,140000,Other,936,No
1227,NridgHt,260116,2 Story,2152,Yes
1228,NWAmes,260000,2 Story,2353,Yes
1229,NAmes,165500,Other,1661,Yes
1230,CollgCr,272000,1 Story,1601,Yes
1231,OldTown,256000,Other,2792,Yes
1232,Mitchel,173000,Other,1217,No
1233,CollgCr,261500,2 Story,1872,Yes
1234,NPkVill,148500,1 Story,1055,No
1235,StoneBr,207500,2 Story,2090,Yes
1236,Gilbert,244000,2 Story,2054,Yes
1237,NWAmes,187500,Other,1472,Yes
1238,NridgHt,324000,1 Story,1808,Yes
1239,Timber,316500,1 Story,1641,No
1240,IDOTRR,64500,Other,1020,No
1241,NAmes,139000,1 Story,952,No
1242,Somerst,270000,2 Story,1959,Yes
1243,NAmes,148800,1 Story,1120,Yes
1244,NPkVill,128000,1 Story,958,Yes
1245,NAmes,140000,1 Story,1362,Yes
1246,NAmes,155000,1 Story,1269,Yes
1247,ClearCr,235000,1 Story,1252,Yes
1248,NAmes,139900,1 Story,1422,Yes
1249,NAmes,152000,1 Story,1040,No
1250,NridgHt,500067,1 Story,2290,Yes
1251,NAmes,140000,1 Story,1114,No
1252,SawyerW,192500,2 Story,1663,No
1253,NAmes,242000,1 Story,2069,Yes
1254,Sawyer,131400,1 Story,1144,Yes
1255,OldTown,124900,Other,1869,No
1256,OldTown,85000,1 Story,1022,No
1257,Gilbert,156000,Other,1430,Yes
1258,SWISU,160000,2 Story,2650,No
1259,NWAmes,170000,Other,1173,Yes
1260,NAmes,167900,2 Story,1611,No
1261,NridgHt,293000,1 Story,1740,No
1262,Somerst,207500,2 Story,1728,No
1263,NAmes,140000,1 Story,1283,No
1264,NridgHt,221370,1 Story,1324,Yes
1265,BrkSide,131750,Other,1426,Yes
1266,CollgCr,170000,2 Story,1396,Yes
1267,NoRidge,336000,2 Story,2612,Yes
1268,NridgHt,344133,2 Story,2253,Yes
1269,Sawyer,157000,1 Story,1949,No
1270,Edwards,140000,1 Story,1214,No
1271,Blmngtn,159895,1 Story,1266,Yes
1272,NoRidge,290000,2 Story,2531,Yes
1273,Sawyer,123000,1 Story,912,No
1274,Timber,315000,1 Story,1838,Yes
1275,OldTown,46500,1 Story,407,No
1276,OldTown,129000,2 Story,1464,No
1277,Somerst,204000,1 Story,1358,No
1278,NridgHt,284000,1 Story,1575,Yes
1279,NWAmes,165150,2 Story,1790,Yes
1280,StoneBr,392000,1 Story,1419,Yes
1281,BrkSide,88000,1 Story,1015,No
1282,SawyerW,147983,2 Story,2228,No
1283,SWISU,131000,Other,1465,Yes
1284,Timber,170000,2 Story,2014,No
1285,Timber,214900,2 Story,1894,Yes
1286,NAmes,81400,1 Story,1040,No
1287,BrkSide,52000,1 Story,729,No
1288,NoRidge,290000,2 Story,2501,Yes
1289,CollgCr,152000,1 Story,1040,No
1290,CollgCr,203000,1 Story,1444,No
1291,SawyerW,229000,Other,2037,Yes
1292,Gilbert,154204,1 Story,1128,Yes
1293,Somerst,257000,2 Story,1861,Yes
1294,OldTown,122250,Other,1740,Yes
1295,NAmes,124000,1 Story,932,Yes
1296,OldTown,135000,Other,1174,Yes
1297,ClearCr,158900,1 Story,1388,Yes
1298,Sawyer,158450,Other,1452,Yes
1299,BrkSide,115000,Other,1344,No
1300,Sawyer,121500,1 Story,1392,Yes
1301,OldTown,122000,2 Story,2358,No
1302,NWAmes,154000,2 Story,2050,Yes
1303,CollgCr,133900,Other,768,No
1304,OldTown,150000,2 Story,1566,No
